,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
0,barentsburg,87.61377309595244,3.101205403144064,,,,,
1,illoqqortoormiut,88.43438054175971,-17.656427933860186,,,,,
2,anadyr,60.950009267784964,174.86303070587064,33.8,95,90,29.08,2127202
3,mahebourg,-46.73066393569077,80.78093433417268,77.0,78,40,13.87,934322
4,cape town,-59.0730034786205,-8.72223698514884,64.4,59,0,11.41,3369157
5,arraial do cabo,-53.08599636848213,-17.65875511114575,69.69,100,92,13.02,3471451
6,kenai,64.07902970657545,-152.4342899919966,36.93,72,1,5.82,5866063
7,pallasovka,49.28002763621822,46.42014655478394,27.93,83,12,2.84,513042
8,palabuhanratu,-10.224343784810117,103.50462484382052,,,,,
9,awjilah,26.16179175338786,18.905549062990332,72.25,45,36,10.11,88533
10,busselton,-67.81213407791508,91.53366633282224,56.46,100,0,17.38,2075265
11,country club,37.98892129177898,-121.42202451605533,68.0,77,90,13.87,3467865
12,nanortalik,58.9974344879316,-44.38352508489851,31.75,90,88,4.41,3421765
13,barbar,20.23012531513811,34.3280735883682,,,,,
14,east london,-59.49635852835736,46.02700003017392,67.39,100,0,10.45,1006984
15,saleaula,3.3421606488255406,-173.17470856259064,,,,,
16,tuktoyaktuk,83.87945774822572,-130.9457077543763,6.8,84,75,4.7,6170031
17,provideniya,51.48891717159469,-172.42751223275496,37.4,100,90,20.13,4031574
18,port hedland,-24.891861237144596,122.9107919450359,78.8,83,80,4.7,2063042
19,castro,-47.629518562710906,-79.38849319794586,53.76,100,92,1.72,3896218
20,karaul,71.98188790237526,83.7243832919633,,,,,
21,catanzaro,38.79421784507454,16.679140286058725,53.6,93,20,4.7,2525059
22,horsham,-35.97042427568774,141.65415651044032,50.25,71,68,7.2,2163055
23,saskylakh,89.84506027989733,109.78745379394195,-17.75,76,68,8.66,2017155
24,diego de almagro,-26.839678788289127,-69.80911590235425,71.89,69,0,3.85,3892454
25,puerto ayora,-16.101705438252935,-109.32886860553222,80.6,57,20,19.46,3652764
26,san cristobal,-3.292541129078316,-86.01197926821548,59.0,72,75,6.93,3652462
27,taolanaro,-32.8445001504379,54.145499700394936,,,,,
28,punta arenas,-61.08802490100244,-82.23290099243302,48.2,49,75,26.4,3874787
29,albany,-64.32663290085937,117.54585436612632,45.46,45,75,9.17,5106834
30,attawapiskat,63.29542075860664,-79.71639290401849,,,,,
31,tabasco,21.928401750902296,-102.96166373124275,78.8,22,40,8.05,3982729
32,kodiak,40.82935355464778,-157.62694099779202,32.0,100,90,6.93,4407665
33,atuona,-11.465218504628638,-138.1779282686436,79.41,100,68,9.66,4020109
